seed,extra_distractors,method,precision_at_2,recall_at_2
4,0,semantic_only,1.0,1.0
4,0,ontology_guided,1.0,1.0
5,0,semantic_only,0.0,0.0
5,0,ontology_guided,0.5,1.0
8,0,semantic_only,1.0,1.0
8,0,ontology_guided,1.0,1.0
9,0,semantic_only,0.0,0.0
9,0,ontology_guided,0.5,1.0
12,0,semantic_only,0.0,0.0
12,0,ontology_guided,0.5,1.0
13,0,semantic_only,1.0,0.6666666666666666
13,0,ontology_guided,1.0,0.6666666666666666
16,0,semantic_only,1.0,0.6666666666666666
16,0,ontology_guided,1.0,0.6666666666666666
22,0,semantic_only,0.5,1.0
22,0,ontology_guided,1.0,1.0
23,0,semantic_only,0.0,0.0
23,0,ontology_guided,0.5,1.0
24,0,semantic_only,0.0,0.0
24,0,ontology_guided,0.5,1.0
28,0,semantic_only,0.5,1.0
28,0,ontology_guided,0.5,1.0
31,0,semantic_only,1.0,1.0
31,0,ontology_guided,1.0,1.0
44,0,semantic_only,1.0,0.6666666666666666
44,0,ontology_guided,1.0,0.6666666666666666
51,0,semantic_only,1.0,1.0
51,0,ontology_guided,1.0,1.0
59,0,semantic_only,0.5,1.0
59,0,ontology_guided,0.5,1.0
66,0,semantic_only,1.0,1.0
66,0,ontology_guided,1.0,1.0
67,0,semantic_only,1.0,1.0
67,0,ontology_guided,1.0,1.0
70,0,semantic_only,1.0,1.0
70,0,ontology_guided,0.5,0.5
73,0,semantic_only,0.5,1.0
73,0,ontology_guided,0.5,1.0
79,0,semantic_only,0.5,1.0
79,0,ontology_guided,1.0,1.0
81,0,semantic_only,0.5,1.0
81,0,ontology_guided,0.5,1.0
91,0,semantic_only,1.0,1.0
91,0,ontology_guided,1.0,1.0
99,0,semantic_only,1.0,0.6666666666666666
99,0,ontology_guided,1.0,0.6666666666666666
100,0,semantic_only,1.0,1.0
100,0,ontology_guided,1.0,1.0
111,0,semantic_only,1.0,1.0
111,0,ontology_guided,1.0,1.0
113,0,semantic_only,0.5,1.0
113,0,ontology_guided,0.5,1.0
116,0,semantic_only,0.5,1.0
116,0,ontology_guided,1.0,1.0
121,0,semantic_only,1.0,1.0
121,0,ontology_guided,1.0,1.0
134,0,semantic_only,0.5,1.0
134,0,ontology_guided,0.5,1.0
136,0,semantic_only,1.0,0.5
136,0,ontology_guided,0.5,0.25
143,0,semantic_only,1.0,1.0
143,0,ontology_guided,1.0,1.0
144,0,semantic_only,0.0,0.0
144,0,ontology_guided,0.5,1.0
154,0,semantic_only,1.0,1.0
154,0,ontology_guided,1.0,1.0
156,0,semantic_only,1.0,0.6666666666666666
156,0,ontology_guided,1.0,0.6666666666666666
160,0,semantic_only,1.0,1.0
160,0,ontology_guided,0.5,0.5
162,0,semantic_only,0.5,1.0
162,0,ontology_guided,0.5,1.0
164,0,semantic_only,1.0,1.0
164,0,ontology_guided,1.0,1.0
165,0,semantic_only,0.5,1.0
165,0,ontology_guided,0.5,1.0
166,0,semantic_only,1.0,1.0
166,0,ontology_guided,1.0,1.0
168,0,semantic_only,0.0,0.0
168,0,ontology_guided,0.5,1.0
173,0,semantic_only,0.0,0.0
173,0,ontology_guided,0.5,1.0
176,0,semantic_only,0.5,1.0
176,0,ontology_guided,0.5,1.0
177,0,semantic_only,0.5,1.0
177,0,ontology_guided,1.0,1.0
198,0,semantic_only,0.5,1.0
198,0,ontology_guided,1.0,1.0
202,0,semantic_only,1.0,0.6666666666666666
202,0,ontology_guided,1.0,0.6666666666666666
203,0,semantic_only,0.5,1.0
203,0,ontology_guided,0.5,1.0
204,0,semantic_only,1.0,0.6666666666666666
204,0,ontology_guided,1.0,0.6666666666666666
227,0,semantic_only,1.0,0.6666666666666666
227,0,ontology_guided,1.0,0.6666666666666666
234,0,semantic_only,0.5,1.0
234,0,ontology_guided,0.5,1.0
238,0,semantic_only,0.5,1.0
238,0,ontology_guided,0.5,1.0
239,0,semantic_only,0.5,1.0
239,0,ontology_guided,1.0,1.0
251,0,semantic_only,1.0,0.6666666666666666
251,0,ontology_guided,1.0,0.6666666666666666
258,0,semantic_only,0.0,0.0
258,0,ontology_guided,0.5,1.0
259,0,semantic_only,0.5,1.0
259,0,ontology_guided,0.5,1.0
266,0,semantic_only,1.0,1.0
266,0,ontology_guided,0.5,0.5
274,0,semantic_only,0.5,1.0
274,0,ontology_guided,1.0,1.0
281,0,semantic_only,0.5,1.0
281,0,ontology_guided,1.0,1.0
284,0,semantic_only,0.5,1.0
284,0,ontology_guided,0.5,1.0
298,0,semantic_only,0.5,1.0
298,0,ontology_guided,0.5,1.0
301,0,semantic_only,0.0,0.0
301,0,ontology_guided,0.5,1.0
304,0,semantic_only,0.5,1.0
304,0,ontology_guided,1.0,1.0
309,0,semantic_only,1.0,1.0
309,0,ontology_guided,1.0,1.0
314,0,semantic_only,0.5,1.0
314,0,ontology_guided,0.5,1.0
316,0,semantic_only,0.5,1.0
316,0,ontology_guided,0.5,1.0
317,0,semantic_only,0.0,0.0
317,0,ontology_guided,1.0,1.0
326,0,semantic_only,0.5,1.0
326,0,ontology_guided,1.0,1.0
332,0,semantic_only,0.5,1.0
332,0,ontology_guided,1.0,1.0
334,0,semantic_only,1.0,1.0
334,0,ontology_guided,1.0,1.0
336,0,semantic_only,0.5,1.0
336,0,ontology_guided,1.0,1.0
339,0,semantic_only,0.5,1.0
339,0,ontology_guided,1.0,1.0
347,0,semantic_only,1.0,0.6666666666666666
347,0,ontology_guided,1.0,0.6666666666666666
352,0,semantic_only,0.5,1.0
352,0,ontology_guided,1.0,1.0
354,0,semantic_only,0.5,1.0
354,0,ontology_guided,0.5,1.0
357,0,semantic_only,1.0,1.0
357,0,ontology_guided,1.0,1.0
359,0,semantic_only,0.5,1.0
359,0,ontology_guided,0.5,1.0
360,0,semantic_only,0.5,1.0
360,0,ontology_guided,0.5,1.0
366,0,semantic_only,0.5,1.0
366,0,ontology_guided,0.5,1.0
368,0,semantic_only,0.5,1.0
368,0,ontology_guided,0.5,1.0
373,0,semantic_only,1.0,1.0
373,0,ontology_guided,1.0,1.0
377,0,semantic_only,0.5,1.0
377,0,ontology_guided,1.0,1.0
378,0,semantic_only,1.0,1.0
378,0,ontology_guided,1.0,1.0
380,0,semantic_only,0.5,1.0
380,0,ontology_guided,0.5,1.0
391,0,semantic_only,0.0,0.0
391,0,ontology_guided,0.5,1.0
393,0,semantic_only,0.0,0.0
393,0,ontology_guided,0.5,1.0
394,0,semantic_only,1.0,1.0
394,0,ontology_guided,1.0,1.0
400,0,semantic_only,0.5,1.0
400,0,ontology_guided,0.5,1.0
401,0,semantic_only,0.5,1.0
401,0,ontology_guided,1.0,1.0
403,0,semantic_only,0.5,1.0
403,0,ontology_guided,1.0,1.0
411,0,semantic_only,0.5,1.0
411,0,ontology_guided,0.5,1.0
415,0,semantic_only,0.5,1.0
415,0,ontology_guided,0.5,1.0
426,0,semantic_only,0.5,1.0
426,0,ontology_guided,1.0,1.0
429,0,semantic_only,1.0,0.5
429,0,ontology_guided,0.5,0.25
430,0,semantic_only,1.0,0.6666666666666666
430,0,ontology_guided,0.5,0.3333333333333333
431,0,semantic_only,1.0,0.6666666666666666
431,0,ontology_guided,1.0,0.6666666666666666
441,0,semantic_only,1.0,1.0
441,0,ontology_guided,1.0,1.0
446,0,semantic_only,1.0,0.6666666666666666
446,0,ontology_guided,1.0,0.6666666666666666
449,0,semantic_only,0.5,1.0
449,0,ontology_guided,0.5,1.0
453,0,semantic_only,1.0,1.0
453,0,ontology_guided,1.0,1.0
455,0,semantic_only,1.0,0.5
455,0,ontology_guided,0.5,0.25
458,0,semantic_only,0.5,1.0
458,0,ontology_guided,0.5,1.0
463,0,semantic_only,0.5,1.0
463,0,ontology_guided,0.5,1.0
465,0,semantic_only,0.5,1.0
465,0,ontology_guided,0.5,1.0
466,0,semantic_only,1.0,1.0
466,0,ontology_guided,1.0,1.0
503,0,semantic_only,1.0,1.0
503,0,ontology_guided,1.0,1.0
513,0,semantic_only,0.5,1.0
513,0,ontology_guided,1.0,1.0
515,0,semantic_only,0.5,1.0
515,0,ontology_guided,0.5,1.0
529,0,semantic_only,1.0,0.5
529,0,ontology_guided,0.5,0.25
532,0,semantic_only,0.5,1.0
532,0,ontology_guided,1.0,1.0
535,0,semantic_only,0.5,1.0
535,0,ontology_guided,0.5,1.0
537,0,semantic_only,0.5,1.0
537,0,ontology_guided,1.0,1.0
541,0,semantic_only,0.0,0.0
541,0,ontology_guided,0.5,1.0
542,0,semantic_only,1.0,0.6666666666666666
542,0,ontology_guided,1.0,0.6666666666666666
545,0,semantic_only,1.0,1.0
545,0,ontology_guided,1.0,1.0
546,0,semantic_only,0.5,1.0
546,0,ontology_guided,1.0,1.0
548,0,semantic_only,0.5,1.0
548,0,ontology_guided,1.0,1.0
553,0,semantic_only,0.5,1.0
553,0,ontology_guided,1.0,1.0
555,0,semantic_only,0.5,1.0
555,0,ontology_guided,0.5,1.0
575,0,semantic_only,0.5,1.0
575,0,ontology_guided,1.0,1.0
577,0,semantic_only,0.0,0.0
577,0,ontology_guided,0.5,1.0
582,0,semantic_only,1.0,1.0
582,0,ontology_guided,1.0,1.0
587,0,semantic_only,0.0,0.0
587,0,ontology_guided,1.0,1.0
592,0,semantic_only,0.5,1.0
592,0,ontology_guided,1.0,1.0
593,0,semantic_only,1.0,0.6666666666666666
593,0,ontology_guided,1.0,0.6666666666666666
596,0,semantic_only,1.0,0.6666666666666666
596,0,ontology_guided,1.0,0.6666666666666666
605,0,semantic_only,0.5,1.0
605,0,ontology_guided,1.0,1.0
606,0,semantic_only,1.0,0.5
606,0,ontology_guided,1.0,0.5
608,0,semantic_only,0.5,1.0
608,0,ontology_guided,0.5,1.0
615,0,semantic_only,1.0,1.0
615,0,ontology_guided,1.0,1.0
623,0,semantic_only,0.5,1.0
623,0,ontology_guided,0.5,1.0
627,0,semantic_only,0.5,1.0
627,0,ontology_guided,0.5,1.0
645,0,semantic_only,0.5,1.0
645,0,ontology_guided,1.0,1.0
652,0,semantic_only,0.5,1.0
652,0,ontology_guided,1.0,1.0
658,0,semantic_only,0.5,1.0
658,0,ontology_guided,0.5,1.0
664,0,semantic_only,0.0,0.0
664,0,ontology_guided,0.5,1.0
668,0,semantic_only,0.5,1.0
668,0,ontology_guided,1.0,1.0
672,0,semantic_only,0.5,1.0
672,0,ontology_guided,0.5,1.0
681,0,semantic_only,0.5,1.0
681,0,ontology_guided,0.5,1.0
