extra_distractors,method,precision_at_2,recall_at_2
0,ontology_guided,0.7751322751322751,0.9294532627865961
0,semantic_only,0.6058201058201058,0.8218694885361553
2,ontology_guided,0.7994186046511628,0.9176356589147288
2,semantic_only,0.6133720930232558,0.820736434108527
4,ontology_guided,0.8380281690140845,0.9172535211267606
4,semantic_only,0.6091549295774648,0.8098591549295775
6,ontology_guided,0.8333333333333334,0.9104166666666667
6,semantic_only,0.5916666666666667,0.7902777777777777
8,ontology_guided,0.8774509803921569,0.9142156862745098
8,semantic_only,0.5686274509803921,0.7630718954248366
