seed,method,precision_at_2,recall_at_2
4,semantic_only,1.0,1.0
4,ontology_guided,1.0,1.0
5,semantic_only,0.0,0.0
5,ontology_guided,0.5,1.0
8,semantic_only,1.0,1.0
8,ontology_guided,1.0,1.0
9,semantic_only,0.0,0.0
9,ontology_guided,0.5,1.0
12,semantic_only,0.0,0.0
12,ontology_guided,0.5,1.0
13,semantic_only,1.0,0.6666666666666666
13,ontology_guided,1.0,0.6666666666666666
16,semantic_only,1.0,0.6666666666666666
16,ontology_guided,1.0,0.6666666666666666
22,semantic_only,0.5,1.0
22,ontology_guided,1.0,1.0
23,semantic_only,0.0,0.0
23,ontology_guided,0.5,1.0
24,semantic_only,0.0,0.0
24,ontology_guided,0.5,1.0
28,semantic_only,0.5,1.0
28,ontology_guided,0.5,1.0
31,semantic_only,1.0,1.0
31,ontology_guided,1.0,1.0
44,semantic_only,1.0,0.6666666666666666
44,ontology_guided,1.0,0.6666666666666666
51,semantic_only,1.0,1.0
51,ontology_guided,1.0,1.0
59,semantic_only,0.5,1.0
59,ontology_guided,0.5,1.0
66,semantic_only,1.0,1.0
66,ontology_guided,1.0,1.0
67,semantic_only,1.0,1.0
67,ontology_guided,1.0,1.0
70,semantic_only,1.0,1.0
70,ontology_guided,0.5,0.5
73,semantic_only,0.5,1.0
73,ontology_guided,0.5,1.0
79,semantic_only,0.5,1.0
79,ontology_guided,1.0,1.0
81,semantic_only,0.5,1.0
81,ontology_guided,0.5,1.0
91,semantic_only,1.0,1.0
91,ontology_guided,1.0,1.0
99,semantic_only,1.0,0.6666666666666666
99,ontology_guided,1.0,0.6666666666666666
100,semantic_only,1.0,1.0
100,ontology_guided,1.0,1.0
111,semantic_only,1.0,1.0
111,ontology_guided,1.0,1.0
113,semantic_only,0.5,1.0
113,ontology_guided,0.5,1.0
116,semantic_only,0.5,1.0
116,ontology_guided,1.0,1.0
121,semantic_only,1.0,1.0
121,ontology_guided,1.0,1.0
134,semantic_only,0.5,1.0
134,ontology_guided,0.5,1.0
136,semantic_only,1.0,0.5
136,ontology_guided,0.5,0.25
143,semantic_only,1.0,1.0
143,ontology_guided,1.0,1.0
144,semantic_only,0.0,0.0
144,ontology_guided,0.5,1.0
154,semantic_only,1.0,1.0
154,ontology_guided,1.0,1.0
156,semantic_only,1.0,0.6666666666666666
156,ontology_guided,1.0,0.6666666666666666
160,semantic_only,1.0,1.0
160,ontology_guided,0.5,0.5
162,semantic_only,0.5,1.0
162,ontology_guided,0.5,1.0
164,semantic_only,1.0,1.0
164,ontology_guided,1.0,1.0
165,semantic_only,0.5,1.0
165,ontology_guided,0.5,1.0
166,semantic_only,1.0,1.0
166,ontology_guided,1.0,1.0
