seed,miss_rate,precision_at_2,recall_at_2
4,0.0,1.0,1.0
4,0.1,1.0,1.0
4,0.2,1.0,1.0
4,0.3,1.0,1.0
5,0.0,0.5,1.0
5,0.1,0.5,1.0
5,0.2,0.5,1.0
5,0.3,0.5,1.0
8,0.0,1.0,1.0
8,0.1,1.0,1.0
8,0.2,1.0,1.0
8,0.3,1.0,1.0
9,0.0,0.5,1.0
9,0.1,0.5,1.0
9,0.2,0.5,1.0
9,0.3,0.5,1.0
12,0.0,0.5,1.0
12,0.1,0.5,1.0
12,0.2,0.5,1.0
12,0.3,0.5,1.0
13,0.0,1.0,0.6666666666666666
13,0.1,1.0,0.6666666666666666
13,0.2,1.0,0.6666666666666666
13,0.3,1.0,0.6666666666666666
16,0.0,1.0,0.6666666666666666
16,0.1,1.0,0.6666666666666666
16,0.2,1.0,0.6666666666666666
16,0.3,1.0,0.6666666666666666
22,0.0,1.0,1.0
22,0.1,1.0,1.0
22,0.2,1.0,1.0
22,0.3,1.0,1.0
23,0.0,0.5,1.0
23,0.1,0.5,1.0
23,0.2,0.5,1.0
23,0.3,0.5,1.0
24,0.0,0.5,1.0
24,0.1,0.5,1.0
24,0.2,0.5,1.0
24,0.3,0.5,1.0
28,0.0,0.5,1.0
28,0.1,0.5,1.0
28,0.2,0.5,1.0
28,0.3,0.5,1.0
31,0.0,1.0,1.0
31,0.1,1.0,1.0
31,0.2,1.0,1.0
31,0.3,1.0,1.0
44,0.0,1.0,0.6666666666666666
44,0.1,1.0,0.6666666666666666
44,0.2,1.0,0.6666666666666666
44,0.3,1.0,0.6666666666666666
51,0.0,1.0,1.0
51,0.1,1.0,1.0
51,0.2,1.0,1.0
51,0.3,1.0,1.0
59,0.0,0.5,1.0
59,0.1,0.5,1.0
59,0.2,0.5,1.0
59,0.3,1.0,1.0
66,0.0,1.0,1.0
66,0.1,1.0,1.0
66,0.2,1.0,1.0
66,0.3,1.0,1.0
67,0.0,1.0,1.0
67,0.1,1.0,1.0
67,0.2,1.0,1.0
67,0.3,1.0,1.0
70,0.0,0.5,0.5
70,0.1,0.5,0.5
70,0.2,0.5,0.5
70,0.3,0.5,0.5
73,0.0,0.5,1.0
73,0.1,0.5,1.0
73,0.2,0.5,1.0
73,0.3,0.5,1.0
79,0.0,1.0,1.0
79,0.1,1.0,1.0
79,0.2,1.0,1.0
79,0.3,1.0,1.0
81,0.0,0.5,1.0
81,0.1,0.5,1.0
81,0.2,0.5,1.0
81,0.3,0.5,1.0
91,0.0,1.0,1.0
91,0.1,1.0,1.0
91,0.2,1.0,1.0
91,0.3,1.0,1.0
99,0.0,1.0,0.6666666666666666
99,0.1,1.0,0.6666666666666666
99,0.2,1.0,0.6666666666666666
99,0.3,1.0,0.6666666666666666
100,0.0,1.0,1.0
100,0.1,1.0,1.0
100,0.2,1.0,1.0
100,0.3,1.0,1.0
111,0.0,1.0,1.0
111,0.1,1.0,1.0
111,0.2,1.0,1.0
111,0.3,1.0,1.0
113,0.0,0.5,1.0
113,0.1,0.5,1.0
113,0.2,0.5,1.0
113,0.3,0.5,1.0
116,0.0,1.0,1.0
116,0.1,1.0,1.0
116,0.2,1.0,1.0
116,0.3,1.0,1.0
121,0.0,1.0,1.0
121,0.1,1.0,1.0
121,0.2,1.0,1.0
121,0.3,1.0,1.0
134,0.0,0.5,1.0
134,0.1,0.5,1.0
134,0.2,0.5,1.0
134,0.3,0.5,1.0
136,0.0,0.5,0.25
136,0.1,0.5,0.25
136,0.2,0.5,0.25
136,0.3,0.5,0.25
143,0.0,1.0,1.0
143,0.1,1.0,1.0
143,0.2,1.0,1.0
143,0.3,1.0,1.0
144,0.0,0.5,1.0
144,0.1,0.5,1.0
144,0.2,1.0,1.0
144,0.3,1.0,1.0
154,0.0,1.0,1.0
154,0.1,1.0,1.0
154,0.2,1.0,1.0
154,0.3,1.0,1.0
156,0.0,1.0,0.6666666666666666
156,0.1,1.0,0.6666666666666666
156,0.2,1.0,0.6666666666666666
156,0.3,1.0,0.6666666666666666
160,0.0,0.5,0.5
160,0.1,0.5,0.5
160,0.2,0.5,0.5
160,0.3,0.5,0.5
162,0.0,0.5,1.0
162,0.1,0.5,1.0
162,0.2,0.5,1.0
162,0.3,0.5,1.0
164,0.0,1.0,1.0
164,0.1,1.0,1.0
164,0.2,1.0,1.0
164,0.3,1.0,1.0
